Pokemon Id,Pokedex Number,Pokemon Name,Classification,Alternate Form Name,Original Pokemon ID,Legendary Type,Pokemon Height,Pokemon Weight,Primary Type,Secondary Type,Primary Ability,Primary Ability Description,Secondary Ability,Secondary Ability Description,Hidden Ability,Hidden Ability Description,Special Event Ability,Special Event Ability Description,Male Ratio,Female Ratio,Base Happiness,Game(s) of Origin,Health Stat,Attack Stat,Defense Stat,Special Attack Stat,Special Defense Stat,Speed Stat,Base Stat Total,Health EV,Attack EV,Defense EV,Special Attack EV,Special Defense EV,Speed EV,EV Yield Total,Catch Rate,Experience Growth,Experience Growth Total,Primary Egg Group,Secondary Egg Group,Egg Cycle Count,Pre-Evolution Pokemon Id,Evolution Details
23,11,"""Metapod""","""Cocoon Pokémon""",NULL,NULL,NULL,0.7,9.9,"""Bug""",NULL,"""Shed Skin""","""The Pokémon may heal its own status conditions by shedding its skin.""",NULL,NULL,NULL,NULL,NULL,NULL,50,50,50,"""Red""",50,20,55,25,25,30,205,0,0,2,0,0,0,2,120,"""Medium Fast""",1000000,"""Bug""",NULL,15,32,"""Level 7"""
24,12,"""Butterfree""","""Butterfly Pokémon""",NULL,NULL,NULL,1.1,32.0,"""Bug""","""Flying""","""Compound Eyes""","""The Pokémon's compound eyes boost its accuracy.""",NULL,NULL,"""Tinted Lens""","""The Pokémon can use """"not very effective"""" moves to deal regular damage.""",NULL,NULL,50,50,50,"""Red""",60,45,50,90,80,70,395,0,0,0,2,1,0,3,45,"""Medium Fast""",1000000,"""Bug""",NULL,15,23,"""Level 10"""
1521,12,"""Butterfree""","""Butterfly Pokémon""","""Gigantamax""",24,NULL,17.0,0.0,"""Bug""","""Flying""","""Compound Eyes""","""The Pokémon's compound eyes boost its accuracy.""",NULL,NULL,"""Tinted Lens""","""The Pokémon can use """"not very effective"""" moves to deal regular damage.""",NULL,NULL,50,50,50,"""Sword""",60,45,50,90,80,70,395,0,0,0,2,1,0,3,45,"""Medium Fast""",1000000,"""Bug""",NULL,15,NULL,NULL
31,13,"""Weedle""","""Hairy Bug Pokémon""",NULL,NULL,NULL,0.3,3.2,"""Bug""","""Poison""","""Shield Dust""","""This Pokémon's dust blocks the additional effects of attacks taken.""",NULL,NULL,"""Run Away""","""Enables a sure getaway from wild Pokémon.""",NULL,NULL,50,50,50,"""Red""",40,35,30,20,20,50,195,0,0,0,0,0,1,1,255,"""Medium Fast""",1000000,"""Bug""",NULL,15,NULL,NULL
30,14,"""Kakuna""","""Cocoon Pokémon""",NULL,NULL,NULL,0.6,10.0,"""Bug""","""Poison""","""Shed Skin""","""The Pokémon may heal its own status conditions by shedding its skin.""",NULL,NULL,NULL,NULL,NULL,NULL,50,50,50,"""Red""",45,25,50,25,25,35,205,0,0,2,0,0,0,2,120,"""Medium Fast""",1000000,"""Bug""",NULL,15,31,"""Level 7"""
27,15,"""Beedrill""","""Poison Bee Pokémon""",NULL,NULL,NULL,1.0,29.5,"""Bug""","""Poison""","""Swarm""","""Powers up Bug-type moves when the Pokémon's HP is low.""",NULL,NULL,"""Sniper""","""Powers up moves if they become critical hits when attacking.""",NULL,NULL,50,50,50,"""Red""",65,90,40,45,80,75,395,0,2,0,0,1,0,3,45,"""Medium Fast""",1000000,"""Bug""",NULL,15,30,"""Level 10"""
28,15,"""Beedrill""","""Poison Bee Pokémon""","""Mega""",27,NULL,1.4,40.5,"""Bug""","""Poison""","""Adaptability""","""Powers up moves of the same type as the Pokémon.""",NULL,NULL,NULL,NULL,NULL,NULL,50,50,70,"""Omega Ruby""",65,150,40,15,80,145,495,0,2,0,0,1,0,3,45,"""Medium Fast""",1000000,"""Bug""",NULL,15,NULL,NULL
76,16,"""Pidgey""","""Tiny Bird Pokémon""",NULL,NULL,NULL,0.3,1.8,"""Normal""","""Flying""","""Keen Eye""","""Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.""","""Tangled Feet""","""Raises evasiveness if the Pokémon is confused.""","""Big Pecks""","""Protects the Pokémon from Defense-lowering effects.""",NULL,NULL,50,50,50,"""Red""",40,45,40,35,35,56,251,0,0,0,0,0,1,1,255,"""Medium Slow""",1059860,"""Flying""",NULL,15,NULL,NULL
77,17,"""Pidgeotto""","""Bird Pokémon""",NULL,NULL,NULL,1.1,30.0,"""Normal""","""Flying""","""Keen Eye""","""Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.""","""Tangled Feet""","""Raises evasiveness if the Pokémon is confused.""","""Big Pecks""","""Protects the Pokémon from Defense-lowering effects.""",NULL,NULL,50,50,50,"""Red""",63,60,55,50,50,71,349,0,0,0,0,0,2,2,120,"""Medium Slow""",1059860,"""Flying""",NULL,15,76,"""Level 18"""
78,18,"""Pidgeot""","""Bird Pokémon""",NULL,NULL,NULL,1.5,39.5,"""Normal""","""Flying""","""Keen Eye""","""Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.""","""Tangled Feet""","""Raises evasiveness if the Pokémon is confused.""","""Big Pecks""","""Protects the Pokémon from Defense-lowering effects.""",NULL,NULL,50,50,50,"""Red""",83,80,75,70,70,101,479,0,0,0,0,0,3,3,45,"""Medium Slow""",1059860,"""Flying""",NULL,15,77,"""Level 36"""
79,18,"""Pidgeot""","""Bird Pokémon""","""Mega""",78,NULL,2.2,50.5,"""Normal""","""Flying""","""No Guard""","""The Pokémon employs no-guard tactics to ensure incoming and outgoing attacks always land.""",NULL,NULL,NULL,NULL,NULL,NULL,50,50,70,"""Omega Ruby""",83,80,80,135,80,121,579,0,0,0,0,0,3,3,45,"""Medium Slow""",1059860,"""Flying""",NULL,15,NULL,NULL
80,19,"""Rattata""","""Mouse Pokémon""",NULL,NULL,NULL,0.3,3.5,"""Normal""",NULL,"""Run Away""","""Enables a sure getaway from wild Pokémon.""","""Guts""","""It's so gutsy that having a status condition boosts the Pokémon's Attack stat.""","""Hustle""","""Boosts the Attack stat, but lowers accuracy.""",NULL,NULL,50,50,50,"""Red""",30,56,35,25,35,72,253,0,0,0,0,0,1,1,255,"""Medium Fast""",1000000,"""Field""",NULL,15,NULL,NULL
81,19,"""Rattata""","""Mouse Pokémon""","""Alola""",80,NULL,0.3,3.8,"""Dark""","""Normal""","""Gluttony""","""Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.""","""Hustle""","""Boosts the Attack stat, but lowers accuracy.""","""Thick Fat""","""The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.""",NULL,NULL,50,50,70,"""Sun""",30,56,35,25,35,72,253,0,0,0,0,0,1,1,255,"""Medium Fast""",1000000,"""Field""",NULL,15,NULL,NULL
82,20,"""Raticate""","""Mouse Pokémon""",NULL,NULL,NULL,0.7,18.5,"""Normal""",NULL,"""Run Away""","""Enables a sure getaway from wild Pokémon.""","""Guts""","""It's so gutsy that having a status condition boosts the Pokémon's Attack stat.""","""Hustle""","""Boosts the Attack stat, but lowers accuracy.""",NULL,NULL,50,50,50,"""Red""",55,81,60,50,70,97,413,0,0,0,0,0,2,2,127,"""Medium Fast""",1000000,"""Field""",NULL,15,80,"""Level 20"""
83,20,"""Raticate""","""Mouse Pokémon""","""Alola""",82,NULL,0.7,25.5,"""Dark""","""Normal""","""Gluttony""","""Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.""","""Hustle""","""Boosts the Attack stat, but lowers accuracy.""","""Thick Fat""","""The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.""",NULL,NULL,50,50,70,"""Sun""",75,71,70,40,80,77,413,0,0,0,0,0,2,2,127,"""Medium Fast""",1000000,"""Field""",NULL,15,81,"""Level 20"""
84,21,"""Spearow""","""Tiny Bird Pokémon""",NULL,NULL,NULL,0.3,2.0,"""Normal""","""Flying""","""Keen Eye""","""Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.""",NULL,NULL,"""Sniper""","""Powers up moves if they become critical hits when attacking.""",NULL,NULL,50,50,50,"""Red""",40,60,30,31,31,70,262,0,0,0,0,0,1,1,255,"""Medium Fast""",1000000,"""Flying""",NULL,15,NULL,NULL
85,22,"""Fearow""","""Beak Pokémon""",NULL,NULL,NULL,1.2,38.0,"""Normal""","""Flying""","""Keen Eye""","""Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.""",NULL,NULL,"""Sniper""","""Powers up moves if they become critical hits when attacking.""",NULL,NULL,50,50,50,"""Red""",65,90,65,61,61,100,442,0,0,0,0,0,2,2,90,"""Medium Fast""",1000000,"""Flying""",NULL,15,84,"""Level 20"""
86,23,"""Ekans""","""Snake Pokémon""",NULL,NULL,NULL,2.0,6.9,"""Poison""",NULL,"""Intimidate""","""The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.""","""Shed Skin""","""The Pokémon may heal its own status conditions by shedding its skin.""","""Unnerve""","""Unnerves opposing Pokémon and makes them unable to eat Berries.""",NULL,NULL,50,50,50,"""Red""",35,60,44,40,54,55,288,0,1,0,0,0,0,1,255,"""Medium Fast""",1000000,"""Field""","""Dragon""",20,NULL,NULL
87,24,"""Arbok""","""Cobra Pokémon""",NULL,NULL,NULL,3.5,65.0,"""Poison""",NULL,"""Intimidate""","""The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.""","""Shed Skin""","""The Pokémon may heal its own status conditions by shedding its skin.""","""Unnerve""","""Unnerves opposing Pokémon and makes them unable to eat Berries.""",NULL,NULL,50,50,50,"""Red""",60,95,69,65,79,80,448,0,2,0,0,0,0,2,90,"""Medium Fast""",1000000,"""Field""","""Dragon""",20,86,"""Level 22"""
89,25,"""Pikachu""","""Mouse Pokémon""",NULL,NULL,NULL,0.4,6.0,"""Electric""",NULL,"""Static""","""The Pokémon is charged with static electricity, so contact with it may cause paralysis.""",NULL,NULL,"""Lightning Rod""","""The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.""",NULL,NULL,50,50,50,"""Red""",35,55,40,50,50,90,320,0,0,0,0,0,2,2,190,"""Medium Fast""",1000000,"""Field""","""Fairy""",10,88,NULL
1523,25,"""Pikachu""","""Mouse Pokémon""","""Gigantamax""",89,NULL,21.0,0.0,"""Electric""",NULL,"""Static""","""The Pokémon is charged with static electricity, so contact with it may cause paralysis.""",NULL,NULL,"""Lightning Rod""","""The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.""",NULL,NULL,50,50,50,"""Sword""",35,55,40,50,50,90,320,0,0,0,0,0,2,2,190,"""Medium Fast""",1000000,"""Field""","""Fairy""",10,NULL,NULL
1595,25,"""Pikachu""","""Mouse Pokémon""","""Starter""",89,NULL,0.4,6.0,"""Electric""",NULL,"""Static""","""The Pokémon is charged with static electricity, so contact with it may cause paralysis.""",NULL,NULL,"""Lightning Rod""","""The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.""",NULL,NULL,50,50,70,"""Let's Go Pikachu""",45,80,50,75,60,120,430,0,0,0,0,0,2,2,190,"""Medium Fast""",1000000,"""Field""","""Fairy""",10,NULL,NULL
90,26,"""Raichu""","""Mouse Pokémon""",NULL,NULL,NULL,0.8,30.0,"""Electric""",NULL,"""Static""","""The Pokémon is charged with static electricity, so contact with it may cause paralysis.""",NULL,NULL,"""Lightning Rod""","""The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.""",NULL,NULL,50,50,50,"""Red""",60,90,55,90,80,110,485,0,0,0,0,0,3,3,75,"""Medium Fast""",1000000,"""Field""","""Fairy""",10,89,"""Thunder Stone"""
90,26,"""Raichu""","""Mouse Pokémon""",NULL,NULL,NULL,0.8,30.0,"""Electric""",NULL,"""Static""","""The Pokémon is charged with static electricity, so contact with it may cause paralysis.""",NULL,NULL,"""Lightning Rod""","""The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.""",NULL,NULL,50,50,50,"""Red""",60,90,55,90,80,110,485,0,0,0,0,0,3,3,75,"""Medium Fast""",1000000,"""Field""","""Fairy""",10,89,"""Thunder Stone in Ultra Space - Only Available In USUM"""
90,26,"""Raichu""","""Mouse Pokémon""",NULL,NULL,NULL,0.8,30.0,"""Electric""",NULL,"""Static""","""The Pokémon is charged with static electricity, so contact with it may cause paralysis.""",NULL,NULL,"""Lightning Rod""","""The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.""",NULL,NULL,50,50,50,"""Red""",60,90,55,90,80,110,485,0,0,0,0,0,3,3,75,"""Medium Fast""",1000000,"""Field""","""Fairy""",10,89,"""Thunder Stone"""
91,26,"""Raichu""","""Mouse Pokémon""","""Alola""",90,NULL,0.7,21.0,"""Electric""","""Psychic""","""Surge Surfer""","""Doubles the Pokémon's Speed stat on Electric Terrain.""",NULL,NULL,NULL,NULL,NULL,NULL,50,50,50,"""Sun""",60,85,50,95,85,110,485,0,0,0,0,0,3,3,75,"""Medium Fast""",1000000,"""Field""","""Fairy""",10,89,"""Thunder Stone in Alola"""
92,27,"""Sandshrew""","""Mouse Pokémon""",NULL,NULL,NULL,0.6,12.0,"""Ground""",NULL,"""Sand Veil""","""Boosts the Pokémon's evasiveness in a sandstorm.""",NULL,NULL,"""Sand Rush""","""Boosts the Pokémon's Speed stat in a sandstorm.""",NULL,NULL,50,50,50,"""Red""",50,75,85,20,30,40,300,0,0,1,0,0,0,1,255,"""Medium Fast""",1000000,"""Field""",NULL,20,NULL,NULL
93,27,"""Sandshrew""","""Mouse Pokémon""","""Alola""",92,NULL,0.7,40.0,"""Ice""","""Steel""","""Snow Cloak""","""Boosts evasiveness in a hailstorm.""",NULL,NULL,"""Slush Rush""","""Boosts the Pokémon's Speed stat in a hailstorm.""",NULL,NULL,50,50,50,"""Sun""",50,75,90,10,35,40,300,0,0,1,0,0,0,1,255,"""Medium Fast""",1000000,"""Field""",NULL,20,NULL,NULL
94,28,"""Sandslash""","""Mouse Pokémon""",NULL,NULL,NULL,1.0,29.5,"""Ground""",NULL,"""Sand Veil""","""Boosts the Pokémon's evasiveness in a sandstorm.""",NULL,NULL,"""Sand Rush""","""Boosts the Pokémon's Speed stat in a sandstorm.""",NULL,NULL,50,50,50,"""Red""",75,100,110,45,55,65,450,0,0,2,0,0,0,2,90,"""Medium Fast""",1000000,"""Field""",NULL,20,92,"""Level 22"""
95,28,"""Sandslash""","""Mouse Pokémon""","""Alola""",94,NULL,1.2,55.0,"""Ice""","""Steel""","""Snow Cloak""","""Boosts evasiveness in a hailstorm.""",NULL,NULL,"""Slush Rush""","""Boosts the Pokémon's Speed stat in a hailstorm.""",NULL,NULL,50,50,50,"""Sun""",75,100,120,25,65,65,450,0,0,2,0,0,0,2,90,"""Medium Fast""",1000000,"""Field""",NULL,20,93,"""Ice Stone"""
33,29,"""Nidoran (Female)""","""Poison Pin Pokémon""",NULL,NULL,NULL,0.4,7.0,"""Poison""",NULL,"""Poison Point""","""Contact with the Pokémon may poison the attacker.""","""Rivalry""","""Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.""","""Hustle""","""Boosts the Attack stat, but lowers accuracy.""",NULL,NULL,0,100,50,"""Red""",55,47,52,40,40,41,275,1,0,0,0,0,0,1,235,"""Medium Slow""",1059860,"""Monster""","""Field""",20,NULL,NULL
17,30,"""Nidorina""","""Poison Pin Pokémon""",NULL,NULL,NULL,0.8,20.0,"""Poison""",NULL,"""Poison Point""","""Contact with the Pokémon may poison the attacker.""","""Rivalry""","""Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.""","""Hustle""","""Boosts the Attack stat, but lowers accuracy.""",NULL,NULL,0,100,50,"""Red""",70,62,67,55,55,56,365,2,0,0,0,0,0,2,120,"""Medium Slow""",1059860,"""No Eggs Discovered""",NULL,20,33,"""Level 16"""
18,31,"""Nidoqueen""","""Drill Pokémon""",NULL,NULL,NULL,1.3,60.0,"""Poison""","""Ground""","""Poison Point""","""Contact with the Pokémon may poison the attacker.""","""Rivalry""","""Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.""","""Sheer Force""","""Removes additional effects to increase the power of moves when attacking.""",NULL,NULL,0,100,50,"""Red""",90,92,87,75,85,76,505,3,0,0,0,0,0,3,45,"""Medium Slow""",1059860,"""No Eggs Discovered""",NULL,20,17,"""Moon Stone"""
48,32,"""Nidoran (Male)""","""Poison Pin Pokémon""",NULL,NULL,NULL,0.5,9.0,"""Poison""",NULL,"""Poison Point""","""Contact with the Pokémon may poison the attacker.""","""Rivalry""","""Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.""","""Hustle""","""Boosts the Attack stat, but lowers accuracy.""",NULL,NULL,100,0,50,"""Red""",46,57,40,40,40,50,273,0,1,0,0,0,0,1,235,"""Medium Slow""",1059860,"""Monster""","""Field""",20,NULL,NULL
49,33,"""Nidorino""","""Poison Pin Pokémon""",NULL,NULL,NULL,0.9,19.5,"""Poison""",NULL,"""Poison Point""","""Contact with the Pokémon may poison the attacker.""","""Rivalry""","""Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.""","""Hustle""","""Boosts the Attack stat, but lowers accuracy.""",NULL,NULL,100,0,50,"""Red""",61,72,57,55,55,65,365,0,2,0,0,0,0,2,120,"""Medium Slow""",1059860,"""Monster""","""Field""",20,48,"""Level 16"""
50,34,"""Nidoking""","""Drill Pokémon""",NULL,NULL,NULL,1.4,62.0,"""Poison""","""Ground""","""Poison Point""","""Contact with the Pokémon may poison the attacker.""","""Rivalry""","""Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.""","""Sheer Force""","""Removes additional effects to increase the power of moves when attacking.""",NULL,NULL,100,0,50,"""Red""",81,102,77,85,75,85,505,0,3,0,0,0,0,3,45,"""Medium Slow""",1059860,"""Monster""","""Field""",20,49,"""Moon Stone"""
52,35,"""Clefairy""","""Fairy Pokémon""",NULL,NULL,NULL,0.6,7.5,"""Fairy""",NULL,"""Cute Charm""","""Contact with the Pokémon may cause infatuation.""","""Magic Guard""","""The Pokémon only takes damage from attacks.""","""Friend Guard""","""Reduces damage done to allies.""",NULL,NULL,25,75,140,"""Red""",70,45,48,60,65,35,323,2,0,0,0,0,0,2,150,"""Fast""",800000,"""Fairy""",NULL,20,51,NULL
53,36,"""Clefable""","""Fairy Pokémon""",NULL,NULL,NULL,1.3,40.0,"""Fairy""",NULL,"""Cute Charm""","""Contact with the Pokémon may cause infatuation.""","""Magic Guard""","""The Pokémon only takes damage from attacks.""","""Unaware""","""When attacking, the Pokémon ignores the target Pokémon's stat changes.""",NULL,NULL,25,75,140,"""Red""",95,70,73,95,90,60,483,3,0,0,0,0,0,3,25,"""Fast""",800000,"""Fairy""",NULL,10,52,"""Moon Stone"""
54,37,"""Vulpix""","""Fox Pokémon""",NULL,NULL,NULL,0.6,9.9,"""Fire""",NULL,"""Flash Fire""","""Powers up the Pokémon's Fire-type moves if it's hit by one.""",NULL,NULL,"""Drought""","""Turns the sunlight harsh when the Pokémon enters a battle.""",NULL,NULL,25,75,50,"""Red""",38,41,40,50,65,65,299,0,0,0,0,0,1,1,190,"""Medium Fast""",1000000,"""Field""",NULL,20,NULL,NULL
